,ci_rsfes,p,2p,3p,5p,ibs_rsfes,p,2p,3p,5p
25%,0.541401274,0.529151484,0.463981991,0.504854369,0.492385787,0.156463618,0.212861212,0.234425213,0.181527181,0.216132861
2,0.494099925,0.562393162,0.498347318,0.525558313,0.485327314,0.277363114,0.138709718,0.13587175,0.15055947,0.140620219
3,0.583795515,0.494591937,0.50804878,0.525768087,0.482079758,0.184771646,0.175388066,0.186771644,0.176561068,0.149994734
4,0.5187434,0.534727601,0.507291667,0.484639017,0.475508666,0.175307288,0.171517361,0.152669816,0.187800051,0.190965022
5,0.468606061,0.490021575,0.557057057,0.538681948,0.532273603,0.181610528,0.155333941,0.203515421,0.145158187,0.201250402
6,0.502624672,0.515680264,0.561087122,0.526175923,0.53296559,0.159684018,0.182934662,0.143654326,0.222223283,0.138007008
7,0.47945564,0.51073071,0.536077362,0.455590898,0.55324418,0.243838778,0.153388365,0.165944183,0.164985572,0.148059186
8,0.482783883,0.465577018,0.547765794,0.501040583,0.480931661,0.146975993,0.188771459,0.169724047,0.1725843,0.189737083
9,0.509065223,0.530233808,0.483913502,0.470388729,0.515786993,0.223685434,0.216311181,0.167981783,0.200904189,0.159293039
10,0.495166488,0.499053478,0.488996372,0.525622255,0.471882641,0.13753893,0.162888988,0.184817404,0.145957568,0.18083756
50%,0.619250426,0.45410628,0.523487261,0.523004326,0.491320145,0.163787431,0.249946504,0.228779854,0.225234871,0.27058725
,0.580767769,0.554848967,0.548963836,0.556332237,0.503382411,0.464289552,0.210485323,0.220905299,0.235264165,0.194230893
,0.607190413,0.447179099,0.424980048,0.473791142,0.5104523,0.25913774,0.233555324,0.239700982,0.221628179,0.217376035
,0.580155498,0.488064791,0.457177322,0.498633346,0.494262643,0.216613775,0.214074148,0.213571716,0.220630328,0.22094401
,0.527037319,0.514037774,0.56948338,0.541050903,0.431128405,0.208243295,0.236882645,0.218178078,0.200781528,0.239904046
,0.564924115,0.443920512,0.567996743,0.480784314,0.443890274,0.234175458,0.280978871,0.224842201,0.248254696,0.223409745
,0.575962759,0.50567721,0.48039604,0.592222222,0.457309454,0.242407615,0.228728426,0.21062546,0.290395328,0.208481619
,0.587876477,0.492851469,0.526337281,0.621908127,0.496714341,0.206131739,0.218983338,0.240914854,0.185467511,0.246205874
,0.4948,0.57113188,0.48488949,0.546323224,0.50827614,0.226336737,0.20377749,0.293186798,0.302707848,0.205549667
,0.536074164,0.532751092,0.513620072,0.488006292,0.509843311,0.203018223,0.314815328,0.191690844,0.197033433,0.249223468
75%,0.454849498,0.482972136,0.491416309,0.453066333,0.488706366,0.200073773,0.222339173,0.208890573,0.206460552,0.139488333
,0.397025172,0.495584416,0.517406963,0.503051882,0.498820198,0.20099709,0.196280105,0.192299244,0.20079447,0.252059342
,0.518720218,0.450192625,0.462264151,0.591767881,0.571832579,0.196121764,0.159020246,0.197225346,0.196964929,0.28221765
,0.540816327,0.444570779,0.507188039,0.54097561,0.533791523,0.202143315,0.239813368,0.204097051,0.201910714,0.187150761
,0.541424802,0.495940037,0.431163287,0.425654116,0.46792669,0.212131351,0.151881628,0.232770858,0.200574183,0.299758817
,0.513562387,0.536077236,0.467179184,0.506103764,0.463222908,0.193287417,0.267584308,0.172971453,0.204734214,0.176389418
,0.516330785,0.502886836,0.501760563,0.515358362,0.547479484,0.29577305,0.191190193,0.200406344,0.179747866,0.187335042
,0.514605648,0.46739726,0.47767617,0.502549575,0.470141151,0.191723765,0.212147866,0.22813929,0.280340785,0.198871183
,0.452873563,0.471633238,0.487506124,0.575014261,0.48879248,0.181569437,0.228460624,0.19751493,0.232960007,0.189570978
,0.487193764,0.508577753,0.508783784,0.574706212,0.445989801,0.23227431,0.187317783,0.249981566,0.185187196,0.210712926
